Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,user_review
No Man's Sky,PlayStation 4,2016.0,Action,Hello Games,0.58,0.74,0.02,0.26,1.6,5
Sonic Heroes,GameCube,2003.0,Platform,Sega,1.05,0.44,0.06,0.04,1.6,8
ESPN NBA 2K5,PlayStation 2,2004.0,Sports,Global Star,1.26,0.12,0.0,0.21,1.59,7
Diablo,PC,1996.0,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59,9
The Legend of Zelda: Twilight Princess,GameCube,2006.0,Action,Nintendo,1.15,0.36,0.04,0.04,1.59,9
Devil May Cry 4,PlayStation 3,2008.0,Action,Capcom,0.58,0.46,0.34,0.21,1.59,8
Pro Evolution Soccer 2008,PlayStation 3,2007.0,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,6
SoulCalibur IV,Xbox 360,2008.0,Fighting,Ubisoft,0.92,0.44,0.07,0.15,1.59,8
LEGO Harry Potter: Years 1-4,Xbox 360,2010.0,Action,Warner Bros. Interactive Entertainment,0.95,0.5,0.0,0.14,1.59,8
Wolfenstein: The New Order,PlayStation 4,2014.0,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58,8
Guitar Hero: On Tour Decades,DS,2008.0,Misc,Activision,0.85,0.58,0.0,0.16,1.58,8
MySims Kingdom,DS,2008.0,Simulation,Electronic Arts,0.81,0.6,0.01,0.17,1.58,6
Need for Speed: Most Wanted,Xbox 360,2012.0,Racing,Electronic Arts,0.62,0.8,0.01,0.15,1.58,8
Guitar Hero 5,Wii,2009.0,Misc,Activision,0.94,0.49,0.0,0.15,1.58,7
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Action,Square Enix,0.88,0.26,0.34,0.09,1.58,8
Spyro 2: Season of Flame,Game Boy Advance,2002.0,Platform,Vivendi Games,0.85,0.65,0.0,0.08,1.58,7
NCAA Football 2002,PlayStation 2,2001.0,Sports,Electronic Arts,0.77,0.6,0.0,0.2,1.57,8
Mario Party 7,GameCube,2005.0,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57,8
Pro Evolution Soccer 2013,PlayStation 3,2012.0,Sports,Konami Digital Entertainment,0.18,0.64,0.49,0.25,1.56,7
Smuggler's Run,PlayStation 2,2000.0,Racing,Take-Two Interactive,0.77,0.6,0.0,0.2,1.56,7
Fight Night Round 3,PlayStation 2,2006.0,Fighting,Electronic Arts,1.07,0.4,0.0,0.1,1.56,8
Dark Souls III,PlayStation 4,2016.0,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56,9
Pokemon Pinball: Ruby & Sapphire,Game Boy Advance,2003.0,Misc,Nintendo,0.68,0.38,0.44,0.05,1.56,8
LEGO Marvel Super Heroes,PlayStation 4,2013.0,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56,8
Mafia II,Xbox 360,2010.0,Action,Take-Two Interactive,0.84,0.56,0.0,0.15,1.55,8
Dishonored,PlayStation 3,2012.0,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55,8
Stuntman,PlayStation 2,2002.0,Racing,Atari,0.76,0.59,0.0,0.2,1.55,6
Tom Clancy's Rainbow Six 3,Xbox,2003.0,Shooter,Ubisoft,0.91,0.57,0.0,0.07,1.55,8
BioShock 2,PlayStation 3,2010.0,Shooter,Take-Two Interactive,0.85,0.47,0.02,0.22,1.55,8
Spider-Man 2: Enter: Electro,PlayStation,2001.0,Action,Activision,0.57,0.87,0.02,0.09,1.55,8
Watch Dogs,Xbox One,2014.0,Action,Ubisoft,0.9,0.53,0.0,0.13,1.55,6
Star Wars: The Force Unleashed II,PlayStation 3,2010.0,Action,LucasArts,0.8,0.53,0.0,0.22,1.55,7
Ni no Kuni: Wrath of the White Witch,PlayStation 3,2011.0,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.23,1.55,9
LEGO Battles: Ninjago,DS,2011.0,Strategy,Warner Bros. Interactive Entertainment,1.07,0.36,0.0,0.12,1.55,8
Mario Party 10,Wii U,2015.0,Misc,Nintendo,0.69,0.5,0.24,0.11,1.55,6
Dead Rising 3,Xbox One,2013.0,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54,7
Resident Evil: The Umbrella Chronicles,Wii,2007.0,Action,Capcom,0.68,0.43,0.29,0.14,1.54,8
Dark Cloud,PlayStation 2,2000.0,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54,8
Warcraft III: The Frozen Throne,PC,2003.0,Strategy,Activision,0.58,0.87,0.0,0.09,1.54,9
Tom Clancy's Ghost Recon Advanced Warfighter,Xbox 360,2006.0,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54,8
MVP Baseball 2005,PlayStation 2,2005.0,Sports,Electronic Arts,1.26,0.07,0.0,0.21,1.54,9
Call of Duty: Black Ops II,PC,2012.0,Shooter,Activision,0.63,0.69,0.0,0.21,1.53,5
Fight Night Round 4,PlayStation 3,2009.0,Fighting,Electronic Arts,0.92,0.41,0.0,0.21,1.53,8
MySims Kingdom,Wii,2008.0,Simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.53,8
The Simpsons Game,DS,2007.0,Action,Electronic Arts,0.57,0.79,0.0,0.17,1.53,7
FIFA 17,Xbox One,2016.0,Sports,Electronic Arts,0.17,1.26,0.0,0.1,1.53,5
Mario Golf: Toadstool Tour,GameCube,2003.0,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53,8
Donkey Kong Country: Tropical Freeze,Wii U,2014.0,Platform,Nintendo,0.73,0.52,0.15,0.12,1.52,9
Dead Space 2,Xbox 360,2011.0,Shooter,Electronic Arts,0.94,0.45,0.0,0.13,1.52,9
Sonic Rivals 2,PSP,2007.0,Racing,Sega,0.44,0.69,0.0,0.39,1.52,8
The Simpsons Skateboarding,PlayStation 2,2002.0,Sports,Electronic Arts,0.36,0.9,0.0,0.27,1.52,4
Mafia II,PlayStation 3,2010.0,Action,Take-Two Interactive,0.5,0.72,0.04,0.26,1.52,8
Call of Duty 3,PlayStation 3,2006.0,Shooter,Activision,0.6,0.63,0.03,0.26,1.52,7
Super Monkey Ball 2,GameCube,2002.0,Puzzle,Atari,1.11,0.31,0.06,0.04,1.52,8
Pac-Man World 2,PlayStation 2,2002.0,Action,Namco Bandai Games,1.26,0.05,0.0,0.21,1.51,8
Madden NFL 15,Xbox One,2014.0,Sports,Electronic Arts,1.3,0.09,0.0,0.12,1.51,6
Sonic & Sega All-Stars Racing,Wii,2010.0,Racing,Sega,0.65,0.71,0.0,0.15,1.51,8
LEGO Star Wars III: The Clone Wars,Xbox 360,2011.0,Action,LucasArts,0.84,0.54,0.0,0.13,1.51,8
Football Manager 2012,PC,2011.0,Sports,Sega,0.02,1.16,0.0,0.34,1.51,8
The Simpsons Game,PlayStation 2,2007.0,Action,Electronic Arts,0.35,0.03,0.0,1.13,1.51,8
SoulCalibur II,GameCube,2003.0,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5,9
Resistance 3,PlayStation 3,2011.0,Shooter,Sony Computer Entertainment,0.64,0.58,0.05,0.23,1.5,8
Tokyo Xtreme Racer Zero,PlayStation 2,2000.0,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5,9
Red Faction II,PlayStation 2,2002.0,Shooter,THQ,0.49,0.78,0.0,0.23,1.5,8
Super Scribblenauts,DS,2010.0,Puzzle,Warner Bros. Interactive Entertainment,1.08,0.31,0.0,0.11,1.5,8
Madden NFL 2001,PlayStation 2,2000.0,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,8
WWF No Mercy,Nintendo 64,2000.0,Fighting,THQ,1.2,0.27,0.02,0.02,1.5,8
Dead Rising 2,Xbox 360,2010.0,Action,Capcom,0.75,0.53,0.09,0.12,1.5,7
Rock Band 2,PlayStation 3,2008.0,Misc,MTV Games,1.13,0.2,0.0,0.16,1.5,8
Banjo-Tooie,Nintendo 64,2000.0,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49,9
007: Quantum of Solace,Xbox 360,2008.0,Action,Activision,0.82,0.52,0.01,0.14,1.49,7
New Play Control! Mario Power Tennis,Wii,2009.0,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48,8
Dirge of Cerberus: Final Fantasy VII,PlayStation 2,2006.0,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48,8
Mass Effect 2,PlayStation 3,2011.0,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48,9
Major League Baseball 2K5,PlayStation 2,2005.0,Sports,Take-Two Interactive,0.72,0.56,0.0,0.19,1.48,7
Fight Night 2004,PlayStation 2,2004.0,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,9
Assassin's Creed III: Liberation,PlayStation Vita,2012.0,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47,7
SoulCalibur IV,PlayStation 3,2008.0,Fighting,Ubisoft,0.72,0.41,0.14,0.2,1.47,8
Mario Golf,Nintendo 64,1999.0,Action,Nintendo,0.62,0.18,0.65,0.02,1.47,8
Fight Night Round 3,Xbox 360,2006.0,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,9
Metal Gear Rising: Revengeance,PlayStation 3,2013.0,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47,8
Chrono Trigger,DS,2008.0,Role-Playing,Square Enix,0.69,0.2,0.49,0.09,1.47,9
Star Wars: The Force Unleashed II,Xbox 360,2010.0,Action,LucasArts,0.95,0.4,0.0,0.12,1.47,6
The House of the Dead 2 & 3 Return,Wii,2008.0,Shooter,Sega,0.78,0.5,0.03,0.15,1.47,8
LittleBigPlanet PS Vita,PlayStation Vita,2012.0,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47,8
Xenogears,PlayStation,1998.0,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,9
Tom Clancy's Ghost Recon: Future Soldier,Xbox 360,2012.0,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.46,7
Battlefield: Bad Company,Xbox 360,2008.0,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46,8
Midway Arcade Treasures,PlayStation 2,2003.0,Misc,Midway Games,0.72,0.56,0.0,0.19,1.46,8
Homefront,Xbox 360,2011.0,Shooter,THQ,0.83,0.48,0.02,0.12,1.46,6
Super Monkey Ball,GameCube,2001.0,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46,8
Mario Superstar Baseball,GameCube,2005.0,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46,8
Mass Effect 3,PlayStation 3,2012.0,Role-Playing,Electronic Arts,0.63,0.59,0.03,0.21,1.46,6
Onimusha 3: Demon Siege,PlayStation 2,2004.0,Action,Capcom,0.37,0.47,0.54,0.07,1.45,9
Diablo III,Xbox 360,2013.0,Role-Playing,Activision,0.89,0.44,0.0,0.12,1.45,7
Batman: Arkham Knight,Xbox One,2015.0,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0.0,0.13,1.45,7
BioShock,PlayStation 3,2008.0,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45,9
Red Dead Revolver,PlayStation 2,2004.0,Shooter,Take-Two Interactive,0.71,0.55,0.0,0.19,1.45,8
Anno 2070,PC,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,0.32,1.45,7
Smarty Pants,Wii,2007.0,Misc,Electronic Arts,0.53,0.76,0.0,0.16,1.45,8
Hasbro Family Game Night,Wii,2008.0,Puzzle,Electronic Arts,0.97,0.34,0.0,0.13,1.45,7
Dragon Quest Monsters: Joker 2,DS,2010.0,Role-Playing,Square Enix,0.11,0.08,1.24,0.02,1.45,7
My Word Coach,DS,2007.0,Misc,Ubisoft,0.37,0.9,0.0,0.18,1.45,7
SingStar Pop,PlayStation 2,2007.0,Misc,Sony Computer Entertainment,0.04,1.08,0.0,0.32,1.44,7
Sonic Rivals,PSP,2006.0,Racing,Sega,0.73,0.42,0.0,0.28,1.44,8
Rayman Raving Rabbids,Wii,2006.0,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44,8
Tiger Woods PGA Tour 2005,PlayStation 2,2004.0,Sports,Electronic Arts,1.03,0.32,0.0,0.09,1.44,8
Dead Space 2,PlayStation 3,2011.0,Shooter,Electronic Arts,0.73,0.5,0.0,0.21,1.44,8
NCAA Football 2003,PlayStation 2,2002.0,Sports,Electronic Arts,1.16,0.08,0.0,0.19,1.44,8
Disney Infinity,Xbox 360,2013.0,Action,Disney Interactive Studios,0.96,0.37,0.0,0.11,1.43,7
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009.0,Action,Activision,0.91,0.39,0.0,0.13,1.43,6
Sonic's Ultimate Genesis Collection,Xbox 360,2009.0,Misc,Sega,0.85,0.46,0.0,0.13,1.43,7
Tiger Woods PGA Tour 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.81,0.48,0.0,0.14,1.43,8
Classic NES Series: Super Mario Bros.,Game Boy Advance,2004.0,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43,8
Cabela's Big Game Hunter,PlayStation 2,2002.0,Sports,Activision,0.7,0.54,0.0,0.18,1.42,8
UFC Undisputed 2010,PlayStation 3,2010.0,Fighting,THQ,0.8,0.41,0.02,0.19,1.42,7
The Legend of Zelda: The Minish Cap,Game Boy Advance,2004.0,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,9
NFL Street,PlayStation 2,2004.0,Sports,Electronic Arts,1.15,0.08,0.0,0.19,1.42,9
Sonic Generations,Xbox 360,2011.0,Platform,Sega,0.71,0.57,0.0,0.14,1.42,8
Dead Space,Xbox 360,2008.0,Action,Electronic Arts,0.89,0.4,0.0,0.13,1.42,9
LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,LucasArts,0.58,0.51,0.0,0.32,1.41,8
Fight Night Round 4,Xbox 360,2009.0,Fighting,Electronic Arts,0.95,0.34,0.0,0.13,1.41,8
Injustice: Gods Among Us,Xbox 360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.34,0.0,0.11,1.41,8
Ridge Racer,PSP,2004.0,Racing,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41,8
Metroid: Other M,Wii,2010.0,Action,Nintendo,0.87,0.31,0.13,0.1,1.41,7
Twisted Metal: Black,PlayStation 2,2001.0,Racing,Sony Computer Entertainment,1.19,0.17,0.0,0.05,1.41,8
NASCAR 2005: Chase for the Cup,PlayStation 2,2004.0,Racing,Electronic Arts,0.69,0.54,0.0,0.18,1.41,8
Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.82,0.47,0.0,0.12,1.4,6
Spider-Man: The Movie,Xbox,2002.0,Action,Activision,1.07,0.28,0.0,0.05,1.4,8
Far Cry 2,PlayStation 3,2008.0,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4,7
Sonic Advance 3,Game Boy Advance,2004.0,Platform,THQ,0.74,0.52,0.08,0.06,1.4,8
Battlefield 4,PC,2013.0,Shooter,Electronic Arts,0.38,0.86,0.0,0.16,1.4,6
Colin McRae Rally 3,PlayStation 2,2002.0,Racing,Codemasters,0.03,1.05,0.02,0.3,1.4,8
Madden NFL 2002,PlayStation,2001.0,Sports,Electronic Arts,0.78,0.53,0.0,0.09,1.39,7
Final Fantasy XII: Revenant Wings,DS,2007.0,Role-Playing,Square Enix,0.34,0.42,0.54,0.1,1.39,9
Deus Ex: Human Revolution,PlayStation 3,2011.0,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39,8
Dynasty Warriors 5,PlayStation 2,2005.0,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,9
WWE '13,PlayStation 3,2012.0,Action,THQ,0.51,0.62,0.0,0.26,1.39,8
Deus Ex: Human Revolution,Xbox 360,2011.0,Shooter,Square Enix,0.76,0.48,0.02,0.12,1.39,8
True Crime: Streets of LA,Xbox,2003.0,Action,Activision,0.96,0.37,0.0,0.05,1.38,8
The Sims 2,PSP,2005.0,Simulation,Electronic Arts,0.49,0.56,0.0,0.33,1.38,7
Paper Mario,Nintendo 64,2000.0,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38,9
Titanfall,Xbox 360,2014.0,Shooter,Electronic Arts,0.87,0.38,0.02,0.11,1.38,6
Dead Rising 2,PlayStation 3,2010.0,Action,Capcom,0.43,0.57,0.15,0.22,1.38,7
Hasbro Family Game Night 2,Wii,2009.0,Misc,Electronic Arts,0.71,0.53,0.0,0.13,1.38,6
Gardening Mama,DS,2009.0,Puzzle,505 Games,0.8,0.43,0.01,0.13,1.38,7
Dave Mirra Freestyle BMX 2,PlayStation 2,2001.0,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38,8
Need for Speed: The Run,Xbox 360,2011.0,Action,Electronic Arts,0.63,0.58,0.0,0.15,1.38,6
Ridge Racer 7,PlayStation 3,2006.0,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37,7
Forza Horizon 2,Xbox One,2014.0,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37,8
MotorStorm: Pacific Rift,PlayStation 3,2008.0,Racing,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37,8
Sonic Colors,DS,2010.0,Platform,Sega,0.74,0.5,0.01,0.13,1.37,8
LEGO Harry Potter: Years 1-4,PlayStation 3,2010.0,Action,Warner Bros. Interactive Entertainment,0.55,0.6,0.0,0.22,1.37,8
Tom Clancy's Ghost Recon 2,Xbox,2004.0,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36,9
Crash Bandicoot 2: N-Tranced,Game Boy Advance,2003.0,Platform,Vivendi Games,0.63,0.66,0.0,0.07,1.36,8
Burnout Paradise,Xbox 360,2008.0,Racing,Electronic Arts,0.63,0.58,0.01,0.15,1.36,7
Yoshi's New Island,3DS,2014.0,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36,6
Ryse: Son of Rome,Xbox One,2013.0,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36,6
Dead to Rights,PlayStation 2,2002.0,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36,8
LEGO Harry Potter: Years 5-7,Wii,,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0.0,0.13,1.36,8
Marvel vs. Capcom 3: Fate of Two Worlds,PlayStation 3,2011.0,Fighting,Capcom,0.81,0.29,0.11,0.14,1.35,7
F1 2010,PlayStation 3,2010.0,Racing,Codemasters,0.25,0.76,0.08,0.27,1.35,8
FIFA Soccer 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,7
Namco Museum DS,DS,2007.0,Misc,Atari,1.18,0.01,0.06,0.09,1.35,6
FIFA Soccer 08,PSP,2007.0,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35,8
Grand Theft Auto: Chinatown Wars,DS,2009.0,Action,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35,8
Alan Wake,Xbox 360,2010.0,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35,8
Battlefield: Bad Company,PlayStation 3,2008.0,Shooter,Electronic Arts,0.76,0.36,0.05,0.18,1.35,8
Mortal Kombat X,Xbox One,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.0,0.21,0.0,0.13,1.35,8
Samurai Warriors,PlayStation 2,2004.0,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,9
The Simpsons: Hit & Run,Xbox,2003.0,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35,8
Devil May Cry 4,Xbox 360,2008.0,Action,Capcom,0.79,0.34,0.08,0.13,1.35,8
Monster Hunter Freedom,PSP,2005.0,Role-Playing,Capcom,0.24,0.04,1.03,0.04,1.35,8
Crysis 2,Xbox 360,2011.0,Action,Electronic Arts,0.7,0.5,0.02,0.12,1.35,8
FIFA Soccer 08,Xbox 360,2007.0,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,8
The ICO & Shadow of the Colossus Collection,PlayStation 3,2011.0,Adventure,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35,9
Test Drive,PlayStation 2,2002.0,Racing,Atari,0.95,0.21,0.01,0.18,1.34,7
Mario & Luigi: Partners in Time,DS,2005.0,Role-Playing,Nintendo,0.77,0.07,0.43,0.08,1.34,8
Lost Planet: Extreme Condition,Xbox 360,2006.0,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34,7
Doom 3,Xbox,2005.0,Shooter,Activision,0.85,0.43,0.0,0.06,1.34,8
Donkey Kong Jungle Beat,GameCube,2004.0,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,8
Need for Speed Carbon,PlayStation 2,2006.0,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,8
Max Payne 2: The Fall of Max Payne,PlayStation 2,2003.0,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34,8
Command & Conquer: Red Alert 2,PC,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,9
MVP Baseball 2004,PlayStation 2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,8
Your Shape: Fitness Evolved,Xbox 360,2010.0,Sports,Ubisoft,0.79,0.42,0.0,0.11,1.33,8
NBA 2K14,PlayStation 4,2013.0,Sports,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33,6
Metroid Prime 2: Echoes,GameCube,2004.0,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,9
UFC Undisputed 2010,Xbox 360,2010.0,Fighting,THQ,0.9,0.31,0.0,0.11,1.33,7
Final Fantasy X / X-2 HD Remaster,PlayStation 3,2013.0,Role-Playing,Square Enix,0.43,0.4,0.32,0.18,1.33,8
Corvette,PlayStation 2,2004.0,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33,6
Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,Nintendo,0.51,0.17,0.58,0.06,1.33,8
Need for Speed Underground Rivals,PSP,2005.0,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32,8
LEGO Batman: The Videogame,PlayStation 3,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.42,0.0,0.19,1.32,8
Dark Souls II,PlayStation 3,2014.0,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32,8
World of Warcraft: Wrath of the Lich King,PC,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,8
The LEGO Movie Videogame,Xbox 360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32,8
NFL 2K3,PlayStation 2,2002.0,Sports,Atari,1.06,0.08,0.0,0.18,1.32,7
Skylanders Giants,Xbox 360,2012.0,Action,Activision,0.75,0.45,0.0,0.11,1.32,7
The Beatles: Rock Band,Xbox 360,2009.0,Misc,MTV Games,0.97,0.23,0.0,0.11,1.31,8
Tekken 6,Xbox 360,2009.0,Fighting,Namco Bandai Games,0.71,0.42,0.05,0.13,1.31,7
Madagascar,PlayStation 2,2005.0,Platform,Activision,0.78,0.45,0.0,0.07,1.31,8
LEGO Battles,DS,2009.0,Strategy,Warner Bros. Interactive Entertainment,0.81,0.38,0.0,0.12,1.31,9
Turok: Evolution,PlayStation 2,2002.0,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,7
Burnout 3: Takedown,Xbox,2004.0,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,8
Yu-Gi-Oh! The Sacred Cards,Game Boy Advance,2002.0,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,7
Crysis 2,PlayStation 3,2011.0,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3,7
NBA Live 07,PlayStation 2,2006.0,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,6
Saints Row IV,PlayStation 3,2013.0,Action,Deep Silver,0.56,0.44,0.09,0.21,1.3,6
SingStar '80s,PlayStation 2,2005.0,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,8
EA Playground,Wii,2007.0,Sports,Electronic Arts,0.69,0.48,0.0,0.13,1.3,8
EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3,8
Rise of the Tomb Raider,Xbox One,2015.0,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3,8
Need for Speed Carbon,Wii,2006.0,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29,8
Yoshi's Woolly World,Wii U,2015.0,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29,8
FIFA Street,PlayStation 3,2012.0,Sports,Electronic Arts,0.11,0.92,0.0,0.25,1.29,7
Need for Speed: Most Wanted,Xbox 360,2005.0,Racing,Electronic Arts,1.0,0.17,0.02,0.1,1.29,8
Transformers,PlayStation 2,2004.0,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,9
Guitar Hero: Aerosmith,Wii,2008.0,Misc,Activision,1.04,0.14,0.0,0.1,1.29,7
Mystery Case Files: MillionHeir,DS,2008.0,Adventure,Nintendo,0.76,0.4,0.0,0.12,1.29,
Valkyria Chronicles,PlayStation 3,2008.0,Role-Playing,Sega,0.71,0.2,0.24,0.13,1.29,9
Champions of Norrath,PlayStation 2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,8
Metal Gear Solid V: Ground Zeroes,PlayStation 4,2014.0,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28,6
Assassin's Creed Syndicate,Xbox One,2015.0,Action,Ubisoft,0.61,0.56,0.0,0.11,1.28,6
WWE '13,Xbox 360,2012.0,Action,THQ,0.72,0.45,0.0,0.11,1.28,8
Manhunt,PlayStation 2,2003.0,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,8
Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,9
Silent Hill 2,PlayStation 2,2001.0,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,9
Tomb Raider: Underworld,PlayStation 3,2008.0,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27,7
Castlevania: Symphony of the Night,PlayStation,1997.0,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,9
The Sims 2: Nightlife,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,7
LEGO Batman: The Videogame,PlayStation 2,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,0.52,1.27,9
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27,6
NBA 2K9,Xbox 360,2008.0,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,7
WWE '12,Xbox 360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,6
Tony Hawk's Underground,Xbox,2003.0,Sports,Activision,0.85,0.37,0.0,0.05,1.27,8
.hack//Infection Part 1,PlayStation 2,2002.0,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,8
Rockstar Games presents Table Tennis,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.73,0.0,0.15,1.27,6
Tamagotchi Connection: Corner Shop,DS,2005.0,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,8
Football Manager 2011,PC,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26,8
Final Fantasy IV,DS,2007.0,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26,8
Hyrule Warriors,Wii U,2014.0,Action,Nintendo,0.61,0.42,0.13,0.1,1.26,8
Need for Speed Carbon,PlayStation 3,2006.0,Racing,Electronic Arts,0.49,0.52,0.03,0.21,1.26,7
